Location,Day,D,F,G,H,Pp,S,T,V,W,U,$
WICK JOHN O GROATS AIRPORT,2024-03-21Z,SSW,2,36,81,56,22,7,VG,12,1,540
WICK JOHN O GROATS AIRPORT,2024-03-21Z,SSW,5,34,79,38,22,10,VG,10,1,720
WICK JOHN O GROATS AIRPORT,2024-03-21Z,SW,8,29,76,34,18,12,GO,10,1,900
WICK JOHN O GROATS AIRPORT,2024-03-21Z,WSW,5,31,70,32,18,9,VG,10,1,1080
WICK JOHN O GROATS AIRPORT,2024-03-21Z,WSW,3,31,70,6,18,8,VG,2,0,1260
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,2,31,72,4,18,7,VG,2,0,0
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,1,31,73,9,20,6,VG,7,0,180
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,-1,34,73,7,20,5,VG,2,0,360
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,0,36,70,10,20,5,VG,3,1,540
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,1,40,66,16,25,7,GO,7,2,720
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,1,38,69,15,22,6,GO,3,1,900
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,0,34,75,14,20,5,VG,7,1,1080
WICK JOHN O GROATS AIRPORT,2024-03-22Z,WSW,-1,31,79,17,18,5,GO,7,0,1260
BRAEMAR,2024-03-18Z,SW,6,25,57,4,20,10,VG,7,2,720
BRAEMAR,2024-03-18Z,SW,7,25,56,1,18,11,EX,3,1,900
BRAEMAR,2024-03-18Z,SSW,6,25,70,37,13,9,VG,7,1,1080
BRAEMAR,2024-03-18Z,S,4,34,88,90,13,7,MO,15,0,1260
BRAEMAR,2024-03-19Z,S,5,29,89,91,9,8,MO,15,0,0
BRAEMAR,2024-03-19Z,SSW,5,31,91,83,11,8,MO,15,0,180
BRAEMAR,2024-03-19Z,WSW,5,29,88,58,11,8,VG,12,0,360
BRAEMAR,2024-03-19Z,WSW,5,27,81,11,11,8,VG,7,1,540
BRAEMAR,2024-03-19Z,W,5,27,67,10,11,8,VG,7,2,720
BRAEMAR,2024-03-19Z,WNW,5,20,61,5,9,8,VG,7,1,900
BRAEMAR,2024-03-19Z,W,5,9,72,8,2,6,VG,7,1,1080
BRAEMAR,2024-03-19Z,NW,3,4,82,5,2,4,VG,7,0,1260
BRAEMAR,2024-03-20Z,NNE,3,7,84,12,2,4,VG,7,0,0
BRAEMAR,2024-03-20Z,ESE,3,7,86,12,2,4,VG,8,0,180
BRAEMAR,2024-03-20Z,NNW,2,7,88,51,2,3,GO,7,0,360
BRAEMAR,2024-03-20Z,NNE,2,4,90,51,2,3,PO,12,1,540
BRAEMAR,2024-03-20Z,N,4,9,79,42,4,5,GO,12,2,720
BRAEMAR,2024-03-20Z,NNE,5,9,74,11,4,6,VG,7,1,900
BRAEMAR,2024-03-20Z,ESE,4,7,84,6,2,5,GO,7,1,1080
BRAEMAR,2024-03-20Z,SSE,1,9,91,5,4,3,GO,7,0,1260
BRAEMAR,2024-03-21Z,SSW,1,13,88,6,7,3,MO,7,0,0
BRAEMAR,2024-03-21Z,SSW,0,22,86,6,11,3,MO,7,0,180
BRAEMAR,2024-03-21Z,SSW,-1,31,86,10,16,4,GO,7,0,360
BRAEMAR,2024-03-21Z,SW,1,38,85,12,18,5,GO,8,1,540
BRAEMAR,2024-03-21Z,SW,4,43,83,36,20,8,GO,12,2,720
BRAEMAR,2024-03-21Z,SW,6,43,84,38,20,10,GO,12,1,900
BRAEMAR,2024-03-21Z,WSW,5,43,79,27,20,9,VG,10,1,1080
BRAEMAR,2024-03-21Z,WSW,2,40,78,11,18,6,VG,8,0,1260
BRAEMAR,2024-03-22Z,WSW,1,38,77,13,18,5,GO,8,0,0
BRAEMAR,2024-03-22Z,WSW,0,36,80,16,16,4,GO,8,0,180
BRAEMAR,2024-03-22Z,WSW,-2,36,82,45,16,3,GO,12,0,360
BRAEMAR,2024-03-22Z,WSW,-1,40,78,35,18,4,GO,10,1,540
BRAEMAR,2024-03-22Z,W,0,47,64,33,22,5,GO,10,2,720
BRAEMAR,2024-03-22Z,W,0,47,66,32,22,5,GO,10,1,900
BRAEMAR,2024-03-22Z,WSW,-2,38,79,10,18,3,GO,7,1,1080
BRAEMAR,2024-03-22Z,WSW,-3,36,82,13,16,3,GO,8,0,1260
BALTASOUND,2024-03-18Z,S,3,29,98,20,18,8,VP,6,1,720
BALTASOUND,2024-03-18Z,S,3,27,97,11,20,8,MO,7,1,900
BALTASOUND,2024-03-18Z,SSE,3,27,96,9,18,7,MO,7,1,1080
BALTASOUND,2024-03-18Z,SSE,2,36,94,9,22,7,GO,7,0,1260
BALTASOUND,2024-03-19Z,SSE,2,43,93,5,27,7,GO,7,0,0
BALTASOUND,2024-03-19Z,SSE,2,47,93,66,29,8,MO,12,0,180
BALTASOUND,2024-03-19Z,SSE,2,47,93,95,29,8,MO,15,0,360
BALTASOUND,2024-03-19Z,S,4,38,93,53,25,8,GO,12,1,540
BALTASOUND,2024-03-19Z,SW,4,38,89,49,25,8,VG,12,1,720
BALTASOUND,2024-03-19Z,W,2,43,75,19,27,7,VG,7,1,900
BALTASOUND,2024-03-19Z,W,1,36,71,14,20,6,EX,7,1,1080
BALTASOUND,2024-03-19Z,W,0,29,68,8,18,5,EX,7,0,1260
BALTASOUND,2024-03-20Z,W,1,25,72,9,13,5,EX,8,0,0
BALTASOUND,2024-03-20Z,W,1,18,77,9,9,5,EX,8,0,180
BALTASOUND,2024-03-20Z,SW,1,13,85,13,9,4,VG,8,0,360
BALTASOUND,2024-03-20Z,SW,2,16,80,13,11,5,VG,7,1,540
BALTASOUND,2024-03-20Z,SW,4,18,74,6,11,7,VG,3,2,720
BALTASOUND,2024-03-20Z,WSW,4,18,69,5,11,7,VG,3,1,900
BALTASOUND,2024-03-20Z,SW,2,16,79,7,11,5,VG,7,1,1080
BALTASOUND,2024-03-20Z,SSW,0,16,84,5,11,4,VG,7,0,1260
BALTASOUND,2024-03-21Z,SSW,0,22,81,6,16,5,VG,7,0,0
BALTASOUND,2024-03-21Z,S,0,31,83,11,20,5,GO,7,0,180
BALTASOUND,2024-03-21Z,S,0,40,85,57,27,6,MO,12,0,360
BALTASOUND,2024-03-21Z,S,-1,45,89,93,29,6,MO,15,1,540
BALTASOUND,2024-03-21Z,S,2,47,88,93,31,8,MO,15,1,720
BALTASOUND,2024-03-21Z,SW,5,43,87,69,27,10,GO,14,1,900
BALTASOUND,2024-03-21Z,SW,4,40,81,51,25,9,GO,12,1,1080
BALTASOUND,2024-03-21Z,SW,2,40,79,18,25,8,GO,8,0,1260
BALTASOUND,2024-03-22Z,SW,1,43,78,19,27,7,GO,7,0,0
BALTASOUND,2024-03-22Z,WSW,0,40,80,38,25,6,GO,9,0,180
BALTASOUND,2024-03-22Z,WSW,0,36,80,10,25,6,VG,7,0,360
BALTASOUND,2024-03-22Z,WSW,0,40,74,10,25,6,GO,3,1,540
BALTASOUND,2024-03-22Z,WSW,1,43,74,39,27,6,GO,10,2,720
BALTASOUND,2024-03-22Z,WSW,0,40,77,40,25,6,GO,10,1,900
BALTASOUND,2024-03-22Z,WSW,0,34,83,35,22,5,GO,10,1,1080
BALTASOUND,2024-03-22Z,W,0,29,85,32,18,5,GO,9,0,1260
LERWICK (S. SCREEN),2024-03-18Z,S,3,22,100,19,18,7,VP,6,1,720
LERWICK (S. SCREEN),2024-03-18Z,S,4,22,100,8,16,8,MO,8,1,900
LERWICK (S. SCREEN),2024-03-18Z,SSE,3,25,97,8,16,7,MO,7,1,1080
LERWICK (S. SCREEN),2024-03-18Z,SSE,2,34,93,1,22,7,GO,2,0,1260
LERWICK (S. SCREEN),2024-03-19Z,SSE,2,40,91,55,27,7,GO,7,0,0
LERWICK (S. SCREEN),2024-03-19Z,SSE,1,45,93,94,29,7,MO,15,0,180
LERWICK (S. SCREEN),2024-03-19Z,SSE,2,43,95,94,29,7,GO,15,0,360
LERWICK (S. SCREEN),2024-03-19Z,SSW,3,38,90,53,25,8,VG,7,1,540
LERWICK (S. SCREEN),2024-03-19Z,WSW,2,43,86,75,27,8,VG,15,1,720
LERWICK (S. SCREEN),2024-03-19Z,W,1,40,73,16,27,7,VG,7,1,900
LERWICK (S. SCREEN),2024-03-19Z,W,0,34,71,9,20,5,EX,7,1,1080
LERWICK (S. SCREEN),2024-03-19Z,W,0,22,73,9,13,5,EX,7,0,1260
LERWICK (S. SCREEN),2024-03-20Z,W,1,20,76,9,11,5,EX,7,0,0
LERWICK (S. SCREEN),2024-03-20Z,WSW,1,13,80,10,9,4,VG,8,0,180
LERWICK (S. SCREEN),2024-03-20Z,SW,1,13,89,14,9,4,VG,7,0,360
LERWICK (S. SCREEN),2024-03-20Z,SW,2,16,84,50,9,5,VG,7,1,540
LERWICK (S. SCREEN),2024-03-20Z,WSW,3,20,74,8,11,7,VG,1,2,720
LERWICK (S. SCREEN),2024-03-20Z,WSW,3,20,71,5,13,7,VG,1,1,900
LERWICK (S. SCREEN),2024-03-20Z,WSW,2,16,81,4,11,5,VG,3,1,1080
LERWICK (S. SCREEN),2024-03-20Z,SSW,1,18,84,5,13,5,VG,7,0,1260
LERWICK (S. SCREEN),2024-03-21Z,SSW,1,27,80,7,18,5,VG,7,0,0
LERWICK (S. SCREEN),2024-03-21Z,S,0,36,83,12,25,6,GO,7,0,180
LERWICK (S. SCREEN),2024-03-21Z,S,0,45,87,60,29,6,MO,12,0,360
LERWICK (S. SCREEN),2024-03-21Z,S,-1,54,91,95,34,6,MO,15,1,540
LERWICK (S. SCREEN),2024-03-21Z,SSW,1,54,90,93,34,8,MO,15,1,720
LERWICK (S. SCREEN),2024-03-21Z,SW,4,51,88,85,31,9,GO,15,1,900
LERWICK (S. SCREEN),2024-03-21Z,SW,3,51,81,53,31,8,GO,12,1,1080
LERWICK (S. SCREEN),2024-03-21Z,WSW,2,51,79,36,31,7,GO,9,0,1260
LERWICK (S. SCREEN),2024-03-22Z,WSW,1,51,79,41,31,7,VG,9,0,0
LERWICK (S. SCREEN),2024-03-22Z,WSW,0,51,79,42,31,7,VG,9,0,180
LERWICK (S. SCREEN),2024-03-22Z,WSW,0,47,79,10,29,6,VG,2,0,360
LERWICK (S. SCREEN),2024-03-22Z,WSW,0,51,75,36,31,6,GO,10,1,540
LERWICK (S. SCREEN),2024-03-22Z,WSW,0,51,73,40,31,6,GO,10,1,720
LERWICK (S. SCREEN),2024-03-22Z,WSW,0,49,77,41,29,6,GO,10,1,900
LERWICK (S. SCREEN),2024-03-22Z,WSW,0,45,82,37,27,6,GO,10,1,1080
LERWICK (S. SCREEN),2024-03-22Z,W,-1,38,86,43,22,6,GO,12,0,1260
BASILDON,2024-03-18Z,SW,12,18,72,33,13,14,GO,8,2,720
BASILDON,2024-03-18Z,SW,11,20,74,14,16,14,GO,7,1,900
BASILDON,2024-03-18Z,SSW,10,20,80,1,11,12,GO,2,0,1080
BASILDON,2024-03-18Z,SSW,9,18,88,4,9,11,GO,7,0,1260
BASILDON,2024-03-19Z,SW,9,20,88,4,9,11,GO,7,0,0
BASILDON,2024-03-19Z,SSW,8,20,87,5,9,10,GO,7,0,180
BASILDON,2024-03-19Z,SSW,8,22,84,6,11,10,GO,7,0,360
BASILDON,2024-03-19Z,SW,9,25,80,10,11,11,GO,8,1,540
BASILDON,2024-03-19Z,SW,11,22,77,7,13,13,GO,7,2,720
BASILDON,2024-03-19Z,SW,12,20,72,6,11,14,GO,7,1,900
BASILDON,2024-03-19Z,SSW,11,16,82,5,9,12,GO,7,1,1080
BASILDON,2024-03-19Z,SSW,10,13,90,5,7,11,GO,7,0,1260
BASILDON,2024-03-20Z,SSW,10,13,92,15,7,11,GO,7,0,0
BASILDON,2024-03-20Z,S,9,11,93,8,4,10,GO,7,0,180
BASILDON,2024-03-20Z,S,9,9,92,11,4,10,GO,7,0,360
BASILDON,2024-03-20Z,S,11,11,86,8,4,11,GO,7,1,540
BASILDON,2024-03-20Z,SSW,14,11,74,6,4,14,GO,7,2,720
BASILDON,2024-03-20Z,WSW,15,11,65,10,7,16,GO,7,1,900
BASILDON,2024-03-20Z,WNW,13,9,77,14,4,13,GO,7,1,1080
BASILDON,2024-03-20Z,NW,10,11,86,5,4,11,GO,2,0,1260
BASILDON,2024-03-21Z,NW,8,9,89,2,4,9,GO,2,0,0
BASILDON,2024-03-21Z,NNW,7,9,94,6,4,8,GO,7,0,180
BASILDON,2024-03-21Z,WNW,6,9,94,6,4,7,GO,7,0,360
BASILDON,2024-03-21Z,WSW,8,11,87,8,4,9,GO,8,1,540
BASILDON,2024-03-21Z,SW,10,18,75,8,9,12,VG,8,2,720
BASILDON,2024-03-21Z,SW,12,22,65,5,11,14,VG,7,1,900
BASILDON,2024-03-21Z,SW,11,20,68,5,11,13,VG,7,1,1080
BASILDON,2024-03-21Z,SW,9,20,79,4,11,11,VG,7,0,1260
BASILDON,2024-03-22Z,SW,8,22,82,5,11,10,VG,7,0,0
BASILDON,2024-03-22Z,WSW,7,22,83,7,11,10,VG,7,0,180
BASILDON,2024-03-22Z,WSW,8,22,86,12,11,10,GO,8,0,360
BASILDON,2024-03-22Z,W,9,22,82,16,11,11,GO,8,1,540
BASILDON,2024-03-22Z,W,9,25,68,15,11,12,GO,7,2,720
BASILDON,2024-03-22Z,WNW,9,25,59,14,13,11,VG,7,1,900
BASILDON,2024-03-22Z,W,8,20,59,10,11,10,VG,7,1,1080
BASILDON,2024-03-22Z,W,5,20,63,3,11,8,VG,2,0,1260
BARNSLEY,2024-03-18Z,SW,10,16,73,7,11,12,GO,8,3,720
BARNSLEY,2024-03-18Z,SW,12,18,53,5,11,15,VG,7,1,900
BARNSLEY,2024-03-18Z,S,11,16,62,5,11,13,VG,7,1,1080
BARNSLEY,2024-03-18Z,SSW,8,27,74,4,13,11,GO,7,0,1260
BARNSLEY,2024-03-19Z,SSW,8,27,80,45,16,11,GO,9,0,0
BARNSLEY,2024-03-19Z,SSW,7,27,86,56,16,10,GO,12,0,180
BARNSLEY,2024-03-19Z,SSW,7,27,85,3,16,10,GO,2,0,360
BARNSLEY,2024-03-19Z,SW,10,20,81,10,11,12,GO,7,1,540
BARNSLEY,2024-03-19Z,W,11,18,69,8,11,13,VG,7,2,720
BARNSLEY,2024-03-19Z,W,12,16,56,5,9,14,VG,7,1,900
BARNSLEY,2024-03-19Z,NW,11,9,66,4,4,12,VG,7,1,1080
BARNSLEY,2024-03-19Z,N,10,7,75,5,2,11,GO,7,0,1260
BARNSLEY,2024-03-20Z,NE,10,7,81,12,2,10,GO,7,0,0
BARNSLEY,2024-03-20Z,N,9,4,89,44,2,9,MO,7,0,180
BARNSLEY,2024-03-20Z,E,8,7,93,52,4,9,MO,12,0,360
BARNSLEY,2024-03-20Z,E,9,11,91,59,4,10,GO,12,1,540
BARNSLEY,2024-03-20Z,WNW,10,13,87,49,7,11,GO,12,2,720
BARNSLEY,2024-03-20Z,NW,9,18,83,49,9,11,GO,12,1,900
BARNSLEY,2024-03-20Z,N,7,16,86,16,9,9,GO,7,1,1080
BARNSLEY,2024-03-20Z,NNW,6,11,91,10,4,7,GO,7,0,1260
BARNSLEY,2024-03-21Z,NNW,4,9,92,6,4,6,GO,7,0,0
BARNSLEY,2024-03-21Z,W,4,9,92,5,4,6,GO,7,0,180
BARNSLEY,2024-03-21Z,SSW,4,11,91,5,7,6,GO,7,0,360
BARNSLEY,2024-03-21Z,SW,6,18,81,5,9,8,VG,7,1,540
BARNSLEY,2024-03-21Z,SW,7,25,71,5,11,10,VG,7,2,720
BARNSLEY,2024-03-21Z,SW,9,29,68,5,13,12,VG,7,1,900
BARNSLEY,2024-03-21Z,SW,9,29,71,4,16,12,VG,7,1,1080
BARNSLEY,2024-03-21Z,WSW,8,29,78,6,16,11,VG,7,0,1260
BARNSLEY,2024-03-22Z,WSW,8,25,83,9,13,11,GO,7,0,0
BARNSLEY,2024-03-22Z,W,6,25,79,11,11,9,VG,7,0,180
BARNSLEY,2024-03-22Z,W,5,22,75,9,11,8,VG,7,0,360
BARNSLEY,2024-03-22Z,W,5,29,69,10,16,9,VG,7,1,540
BARNSLEY,2024-03-22Z,W,6,36,56,6,18,10,VG,3,3,720
BARNSLEY,2024-03-22Z,W,6,38,53,3,18,9,VG,3,1,900
BARNSLEY,2024-03-22Z,W,4,29,61,4,16,7,VG,1,1,1080
BARNSLEY,2024-03-22Z,W,2,27,68,4,13,6,VG,2,0,1260
BASINGSTOKE,2024-03-18Z,SW,11,20,81,20,11,13,GO,8,2,720
BASINGSTOKE,2024-03-18Z,SSW,11,20,79,6,13,13,GO,7,1,900
BASINGSTOKE,2024-03-18Z,SSW,10,18,82,32,9,12,GO,3,1,1080
BASINGSTOKE,2024-03-18Z,SSW,9,22,88,29,11,11,GO,7,0,1260
BASINGSTOKE,2024-03-19Z,SSW,8,22,88,4,11,10,GO,7,0,0
BASINGSTOKE,2024-03-19Z,SSW,7,29,87,5,13,10,GO,7,0,180
BASINGSTOKE,2024-03-19Z,SSW,7,25,87,45,13,10,GO,12,0,360
BASINGSTOKE,2024-03-19Z,SSW,8,22,91,17,13,11,MO,7,1,540
BASINGSTOKE,2024-03-19Z,SW,11,22,82,7,11,13,GO,7,2,720
BASINGSTOKE,2024-03-19Z,SSW,11,20,76,6,11,13,GO,7,1,900
BASINGSTOKE,2024-03-19Z,SSW,10,18,87,6,9,12,GO,7,1,1080
BASINGSTOKE,2024-03-19Z,SSW,9,13,94,45,7,11,MO,12,0,1260
BASINGSTOKE,2024-03-20Z,SSW,9,16,94,46,7,11,MO,7,0,0
BASINGSTOKE,2024-03-20Z,S,9,13,94,12,7,10,MO,7,0,180
BASINGSTOKE,2024-03-20Z,S,9,13,92,10,4,10,MO,7,0,360
BASINGSTOKE,2024-03-20Z,SSW,11,9,87,8,4,12,GO,7,1,540
BASINGSTOKE,2024-03-20Z,SW,13,13,75,13,7,14,GO,7,2,720
BASINGSTOKE,2024-03-20Z,W,14,11,70,11,7,15,GO,7,1,900
BASINGSTOKE,2024-03-20Z,WNW,11,11,84,8,4,12,GO,7,1,1080
BASINGSTOKE,2024-03-20Z,NW,9,11,90,2,7,10,GO,0,0,1260
BASINGSTOKE,2024-03-21Z,NW,6,9,94,1,4,8,GO,0,0,0
BASINGSTOKE,2024-03-21Z,NNW,5,9,96,6,4,6,GO,7,0,180
BASINGSTOKE,2024-03-21Z,NNW,4,7,97,7,4,6,MO,7,0,360
BASINGSTOKE,2024-03-21Z,SW,8,13,88,5,4,9,GO,7,2,540
BASINGSTOKE,2024-03-21Z,SW,11,20,71,4,9,13,VG,7,3,720
BASINGSTOKE,2024-03-21Z,SW,11,25,67,5,11,14,VG,7,1,900
BASINGSTOKE,2024-03-21Z,SW,10,20,79,4,11,12,VG,7,1,1080
BASINGSTOKE,2024-03-21Z,SW,7,20,88,5,11,10,VG,7,0,1260
BASINGSTOKE,2024-03-22Z,SW,7,22,87,6,11,9,VG,7,0,0
BASINGSTOKE,2024-03-22Z,WSW,7,22,87,11,11,9,GO,8,0,180
BASINGSTOKE,2024-03-22Z,WSW,7,22,88,12,11,9,GO,8,0,360
BASINGSTOKE,2024-03-22Z,W,8,25,82,15,11,10,GO,8,1,540
BASINGSTOKE,2024-03-22Z,W,9,27,71,44,13,11,GO,12,2,720
BASINGSTOKE,2024-03-22Z,WNW,8,29,61,14,13,11,VG,7,1,900
BASINGSTOKE,2024-03-22Z,W,6,25,65,7,11,9,VG,1,1,1080
BASINGSTOKE,2024-03-22Z,W,3,22,73,3,11,6,VG,0,0,1260
CHELTENHAM,2024-03-18Z,SW,12,22,74,9,9,14,GO,7,3,720
CHELTENHAM,2024-03-18Z,SSW,12,20,68,1,11,14,VG,3,1,900
CHELTENHAM,2024-03-18Z,SW,12,11,75,48,7,13,GO,7,1,1080
CHELTENHAM,2024-03-18Z,SSW,9,22,82,5,11,12,GO,7,0,1260
CHELTENHAM,2024-03-19Z,SSW,8,27,82,4,13,11,GO,7,0,0
CHELTENHAM,2024-03-19Z,SSW,8,29,86,54,16,11,GO,12,0,180
CHELTENHAM,2024-03-19Z,SSW,8,25,89,16,13,11,GO,7,0,360
CHELTENHAM,2024-03-19Z,SSW,10,22,86,13,13,12,GO,7,1,540
CHELTENHAM,2024-03-19Z,WSW,12,20,74,42,11,14,GO,7,3,720
CHELTENHAM,2024-03-19Z,SW,13,16,64,5,9,15,GO,7,1,900
CHELTENHAM,2024-03-19Z,SSW,12,13,73,5,7,13,GO,7,1,1080
CHELTENHAM,2024-03-19Z,S,10,11,79,44,7,11,GO,7,0,1260
CHELTENHAM,2024-03-20Z,SE,10,9,91,58,4,11,MO,12,0,0
CHELTENHAM,2024-03-20Z,S,9,16,91,42,7,11,MO,7,0,180
CHELTENHAM,2024-03-20Z,S,9,13,92,55,7,10,MO,7,0,360
CHELTENHAM,2024-03-20Z,SW,10,13,90,14,7,11,MO,7,1,540
CHELTENHAM,2024-03-20Z,SW,11,16,86,82,7,12,GO,12,2,720
CHELTENHAM,2024-03-20Z,W,12,13,80,13,7,13,GO,7,1,900
CHELTENHAM,2024-03-20Z,WNW,10,11,84,8,7,11,GO,7,1,1080
CHELTENHAM,2024-03-20Z,NNW,7,11,90,3,7,8,GO,2,0,1260
CHELTENHAM,2024-03-21Z,NNW,5,7,93,3,4,7,GO,2,0,0
CHELTENHAM,2024-03-21Z,NW,5,4,94,6,2,6,GO,7,0,180
CHELTENHAM,2024-03-21Z,SSW,4,9,94,7,4,6,MO,7,0,360
CHELTENHAM,2024-03-21Z,SW,7,18,87,5,9,9,GO,7,1,540
CHELTENHAM,2024-03-21Z,SW,9,25,75,6,13,12,VG,7,2,720
CHELTENHAM,2024-03-21Z,SW,10,29,69,5,16,13,VG,7,1,900
CHELTENHAM,2024-03-21Z,SW,8,27,74,5,13,11,VG,7,1,1080
CHELTENHAM,2024-03-21Z,SW,7,27,83,7,13,10,VG,7,0,1260
CHELTENHAM,2024-03-22Z,SW,7,27,89,11,13,10,GO,8,0,0
CHELTENHAM,2024-03-22Z,WSW,7,25,89,15,13,10,GO,8,0,180
CHELTENHAM,2024-03-22Z,WSW,7,22,87,16,11,9,GO,8,0,360
CHELTENHAM,2024-03-22Z,W,7,25,77,43,11,10,VG,12,1,540
CHELTENHAM,2024-03-22Z,WNW,8,29,62,12,16,10,VG,7,2,720
CHELTENHAM,2024-03-22Z,WNW,7,29,55,10,16,10,VG,1,1,900
CHELTENHAM,2024-03-22Z,W,5,25,63,7,13,8,VG,1,1,1080
CHELTENHAM,2024-03-22Z,W,3,22,71,2,11,6,VG,0,0,1260
BALLYKELLY,2024-03-18Z,S,9,29,72,6,16,12,GO,7,2,720
BALLYKELLY,2024-03-18Z,SSE,7,34,77,93,20,11,GO,15,1,900
BALLYKELLY,2024-03-18Z,S,7,43,84,87,22,11,MO,15,1,1080
BALLYKELLY,2024-03-18Z,S,9,29,87,62,13,11,VG,9,0,1260
